Thu, 24 Oct 2013 10:18:39 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/gesellschaft/
Thu, 24 Oct 2013 10:19:08 CEST: class RSSThread, method run, Override interval with 5 minutes for Gesellschaft - FAZ.NET
Thu, 24 Oct 2013 10:19:08 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/wissen/index
Thu, 24 Oct 2013 10:19:16 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_technology.rss
Thu, 24 Oct 2013 10:19:18 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Top Stories
Thu, 24 Oct 2013 10:19:18 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/wirtschaft/
Thu, 24 Oct 2013 10:19:34 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Sport
Thu, 24 Oct 2013 10:19:34 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/kultur/index
Thu, 24 Oct 2013 10:19:35 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:19:35 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:19:36 CEST: class RSSThread, method run, Override interval with 5 minutes for Wirtschaft - FAZ.NET
Thu, 24 Oct 2013 10:19:36 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/reisen/index
Thu, 24 Oct 2013 10:19:39 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:19:39 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/reise/
Thu, 24 Oct 2013 10:19:43 CEST: class RSSThread, method run, First visit: http://www.main-netz.de/rss/wissenschaft.xml
Thu, 24 Oct 2013 10:19:45 CEST: class RSSThread, method run, Override interval with 5 minutes for Reise - FAZ.NET
Thu, 24 Oct 2013 10:19:45 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/wirtschaft/index
Thu, 24 Oct 2013 10:19:50 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:19:50 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/wirtschaft/index.rss
Thu, 24 Oct 2013 10:19:51 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/lebensart/index
Thu, 24 Oct 2013 10:19:54 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/wissenschaft/index.rss
Thu, 24 Oct 2013 10:19:57 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/beruf-chance/
Thu, 24 Oct 2013 10:20:02 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Technology
Thu, 24 Oct 2013 10:20:02 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/feuilleton/
Thu, 24 Oct 2013 10:20:04 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/kultur/index.rss
Thu, 24 Oct 2013 10:20:12 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/politik/index.rss
Thu, 24 Oct 2013 10:20:19 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/auto/index
Thu, 24 Oct 2013 10:20:29 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/karriere/index
Thu, 24 Oct 2013 10:20:33 CEST: class RSSThread, method run, Override interval with 5 minutes for Feuilleton - FAZ.NET
Thu, 24 Oct 2013 10:20:33 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_entertainment.rss
Thu, 24 Oct 2013 10:20:37 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/studium/index
Thu, 24 Oct 2013 10:20:44 CEST: class RSSThread, method run, Override interval with 5 minutes for Beruf & Chance - FAZ.NET
Thu, 24 Oct 2013 10:20:44 CEST: class RSSThread, method run, First visit: http://www.spiegel.de/netzwelt/index.rss
Thu, 24 Oct 2013 10:20:52 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/meinung/index
Thu, 24 Oct 2013 10:21:01 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/politik/
Thu, 24 Oct 2013 10:21:06 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/politik/index
Thu, 24 Oct 2013 10:21:12 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/technik-motor/
Thu, 24 Oct 2013 10:21:16 CEST: class RSSThread, method run, Override interval with 5 minutes for Technik & Motor - FAZ.NET
Thu, 24 Oct 2013 10:21:18 CEST: class RSSThread, method run, Override interval with 5 minutes for Politik - FAZ.NET
Thu, 24 Oct 2013 10:21:18 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/sport/index
Thu, 24 Oct 2013 10:21:26 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Entertainment
Thu, 24 Oct 2013 10:21:26 CEST: class RSSThread, method run, First visit: http://www.faz.net/rss/aktuell/wissen/
Thu, 24 Oct 2013 10:21:30 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_business.rss
Thu, 24 Oct 2013 10:21:30 CEST: class RSSThread, method run, Override interval with 5 minutes for Wissen - FAZ.NET
Thu, 24 Oct 2013 10:21:30 CEST: class RSSThread, method run, First visit: http://newsfeed.zeit.de/digital/index
Thu, 24 Oct 2013 10:21:53 CEST: class RSSThread, method run, First visit: http://www.main-netz.de/rss/politik.xml
Thu, 24 Oct 2013 10:22:03 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition.rss
Thu, 24 Oct 2013 10:22:05 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Business
Thu, 24 Oct 2013 10:22:05 CEST: class RSSThread, method run, First visit: http://rss.cnn.com/rss/edition_space.rss
Thu, 24 Oct 2013 10:22:11 CEST: class RSSThread, method run, Override interval with 10 minutes for CNN.com - Science and Space
Thu, 24 Oct 2013 10:22:11 CEST: class RSSThread, method run, First visit: http://feeds.washingtonpost.com/rss/sports
Thu, 24 Oct 2013 10:23:16 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/gesellschaft/index
Thu, 24 Oct 2013 10:23:31 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:23:33 CEST: class RSSThread, method run, Visiting: http://www.spiegel.de/sport/index.rss
Thu, 24 Oct 2013 10:23:38 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/wissen/index
Thu, 24 Oct 2013 10:23:44 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/digital/index
Thu, 24 Oct 2013 10:23:51 CEST: class RSSThread, method run, Visiting: http://www.main-netz.de/rss/politik.xml
Thu, 24 Oct 2013 10:24:03 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/reisen/index
Thu, 24 Oct 2013 10:24:09 CEST: class RSSThread, method run, Visiting: http://www.main-netz.de/rss/wissenschaft.xml
Thu, 24 Oct 2013 10:24:18 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/lebensart/index
Thu, 24 Oct 2013 10:24:23 CEST: class RSSThread, method run, Visiting: http://www.spiegel.de/netzwelt/index.rss
Thu, 24 Oct 2013 10:24:28 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/sport/index
Thu, 24 Oct 2013 10:24:41 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/kultur/index
Thu, 24 Oct 2013 10:24:43 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:24:43 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:24:46 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:24:46 CEST: class RSSThread, method run, Visiting: http://newsfeed.zeit.de/wirtschaft/index
Thu, 24 Oct 2013 10:24:52 CEST: class RSSParser, method genItem, Invalid time format: null
Thu, 24 Oct 2013 10:24:53 CEST: class RSSThread, method run, Visiting: http://www.spiegel.de/wirtschaft/index.rss
